"Title","Hidden","BaseTemplate","ItemCount","DefaultViewUrl"
"SYS_FlujosPowerAutomate","False","100","7","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_FlujosPowerAutomate/AllItems.aspx"
"SYS_FlujosTrabajo","False","100","14","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_FlujosTrabajo/AllItems.aspx"
"SYS_Habilidades","False","100","20","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_Habilidades/AllItems.aspx"
"SYS_HealthChecks","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_HealthChecks/AllItems.aspx"
"SYS_Permisos","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_Permisos/AllItems.aspx"
"SYS_RiesgosSistema","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_RiesgosSistema/AllItems.aspx"
"SYS_Sistemas","False","100","3","/sites/SYS-GobiernoOperativo-PILOTO/Lists/SYS_Sistemas/Activos.aspx"
"TaxonomyHiddenList","True","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/TaxonomyHiddenList/AllItems.aspx"
"TRN_CasosPracticos","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/TRN_CasosPracticos/AllItems.aspx"
"TRN_Modulos","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/TRN_Modulos/AllItems.aspx"
"TRN_RutasAprendizaje","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/TRN_RutasAprendizaje/AllItems.aspx"
"UX_ComponentesVisuales","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/UX_ComponentesVisuales/AllItems.aspx"
"UX_VistasPatron","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/UX_VistasPatron/AllItems.aspx"
"VOC_Microcopy","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/VOC_Microcopy/AllItems.aspx"
"VOC_PlantillasMensajes","False","100","0","/sites/SYS-GobiernoOperativo-PILOTO/Lists/VOC_PlantillasMensajes/AllItems.aspx"
"WB_AprendizajesOperativos","False","100","27","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_AprendizajesOperativos/AllItems.aspx"
"WB_CapacidadesOperativas","False","100","21","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_CapacidadesOperativas/AllItems.aspx"
"WB_Decisiones","False","100","31","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_Decisiones/AllItems.aspx"
"WB_MapeoTaxonomico","False","100","45","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_MapeoTaxonomico/AllItems.aspx"
"WB_RevisionSemanal","False","100","3","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_RevisionSemanal/AllItems.aspx"
"WB_Riesgos","False","100","32","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_Riesgos/AllItems.aspx"
"WB_TaxonomiaFederada","False","100","16","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_TaxonomiaFederada/AllItems.aspx"
"WB_ValoresCanonicos","False","100","14","/sites/SYS-GobiernoOperativo-PILOTO/Lists/WB_ValoresCanonicos/AllItems.aspx"
