raw_connection_id,canonical_id,repo,repo_id,file_path,line_or_section,surface,connection_type,tenant_scope,gate_required,risk_level,seed_decision,stop_condition
conn.sgin_cumplimiento.unknown_por_definir.18867,conn_canon_000604,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/automation/scripts/session/Start-SginWorkspaceSession.ps1,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.18607,conn_canon_000609,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/Cumplimiento Normativo - Cabina.code-workspace,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.18922,conn_canon_000611,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/docs/00_inicio/mapa-estructural-frente-cumplimiento.md,L56,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.18910,conn_canon_000615,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/docs/00_inicio/PAQUETE_MINIMO_PUBLICABLE_CUMPLIMIENTO_2026-04-21.md,L88,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.18988,conn_canon_000643,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/docs/04_automatizacion/AUTO_LINK_DOCUMENT_TO_KYC_status.md,L21,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.18995,conn_canon_000649,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/docs/04_automatizacion/power_automate_environment_map_ESCRIBANIA_BITSCH_20260408.md,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.19006,conn_canon_000653,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/docs/04_automatizacion/power_automate_flows_audit_20260408.md,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.19035,conn_canon_000662,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/docs/05_normalizacion/cabina-vscode-superpoderes-recursos-exportados-y-flujo-operativo-2026-04-21.md,L32,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.19037,conn_canon_000663,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/docs/05_normalizacion/cabina-vscode-superpoderes-recursos-exportados-y-flujo-operativo-2026-04-21.md,L34,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.19399,conn_canon_000701,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/registros/auditoria-estados-canonicos-sys/export/02_SYS_CAPACIDADES_ESTADOS.csv,file_name,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.19604,conn_canon_000717,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/registros/saneamiento-maquina-trabajo-cabina/diagnostico/03_ALERTAS_SENSIBLES.md,L6,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.19607,conn_canon_000718,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/registros/saneamiento-maquina-trabajo-cabina/diagnostico/03_ALERTAS_SENSIBLES.md,L9,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,high,exclude_false_positive,connection_surface_unclassified
conn.sgin_cumplimiento.unknown_por_definir.19670,conn_canon_000725,SeshatSgin/sgin-cumplimiento,SGIN_CUMPLIMIENTO,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento/registros/saneamiento-maquina-trabajo-cabina/matrices/04_CLASIFICACION_VIGENTE_HISTORICO_TEMPORAL.md,L51,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.tcu_agentic_runtime.unknown_por_definir.21344,conn_canon_000760,SeshatSgin/tcu-agentic-runtime-control,TCU_AGENTIC_RUNTIME,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/tcu-agentic-runtime-control/04_EVALS/run_runtime_smoke_result_eval.py,L12,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.tcu_agentic_runtime.unknown_por_definir.21455,conn_canon_000802,SeshatSgin/tcu-agentic-runtime-control,TCU_AGENTIC_RUNTIME,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/tcu-agentic-runtime-control/08_READBACKS/GATE_02_CONTROLLED_RUNTIME_HARNESS_RESULTS.json,L22,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.tcu_agentic_runtime.unknown_por_definir.21481,conn_canon_000817,SeshatSgin/tcu-agentic-runtime-control,TCU_AGENTIC_RUNTIME,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/tcu-agentic-runtime-control/09_RUNTIME_SMOKES/tcu_controlled_runtime_harness.py,L42,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,COURT_SDU_SESHAT,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.tge_agentic_runtime.unknown_por_definir.17895,conn_canon_000888,SeshatSgin/tge-agentic-runtime-control-escribania,TGE_AGENTIC_RUNTIME,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania/04_EVALS/run_tge_runtime_smoke_result_eval.py,L14,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.tge_agentic_runtime.unknown_por_definir.17900,conn_canon_000892,SeshatSgin/tge-agentic-runtime-control-escribania,TGE_AGENTIC_RUNTIME,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania/04_EVALS/run_tge_sdu_cn_court_order_adapter_alignment_eval.py,L42,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.tge_agentic_runtime.unknown_por_definir.18029,conn_canon_000945,SeshatSgin/tge-agentic-runtime-control-escribania,TGE_AGENTIC_RUNTIME,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania/08_READBACKS/GATE_TGE_02_CONTROLLED_RUNTIME_HARNESS_RESULTS.json,L25,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.tge_agentic_runtime.unknown_por_definir.18048,conn_canon_000951,SeshatSgin/tge-agentic-runtime-control-escribania,TGE_AGENTIC_RUNTIME,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania/08_READBACKS/GATE_TGE_02_RUNTIME_COOKBOOK_EXPANSION_RESULTS.json,L21,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.tge_agentic_runtime.unknown_por_definir.18089,conn_canon_000973,SeshatSgin/tge-agentic-runtime-control-escribania,TGE_AGENTIC_RUNTIME,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania/09_RUNTIME_SMOKES/tge_controlled_runtime_harness.py,L43,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.torre_gemela_escribania.unknown_por_definir.2516,conn_canon_001001,SeshatSgin/torre-gemela-escribania,TORRE_GEMELA_ESCRIBANIA,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/torre-gemela-escribania/.devcontainer/agent-runner/devcontainer.json,L16,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
conn.torre_gemela_escribania.unknown_por_definir.2522,conn_canon_001005,SeshatSgin/torre-gemela-escribania,TORRE_GEMELA_ESCRIBANIA,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/torre-gemela-escribania/.devcontainer/devcontainer.json,L11,Unknown / POR_DEFINIR,Unknown / POR_DEFINIR,ESCRIBANIA,GATE_CONNECTION_SURFACE_CLASSIFICATION_REQUIRED,low,exclude_false_positive,connection_surface_unclassified
