"branch_name","sources","head","latest_date","age_days","contained_in_main","ahead_of_main","behind_main","canonical","duplicate_group_size","duplicate_with"
"codex/postmerge-dev-operational-expansion-20260603","remote_git|remote_github","5450999","2026-06-03T11:08:17-03:00","4","True","0","195","False","1",""
"codex/power-platform-teams-governance-alm-20260603","remote_git|remote_github","e1bf768","2026-06-04T12:30:04-03:00","3","False","1","161","False","1",""
"codex/powershell-d-skill-guards-20260604","remote_git|remote_github","8f55fda","2026-06-04T14:23:49-03:00","3","True","0","148","False","1",""
"codex/pr65-postmerge-evidence-20260603","remote_git|remote_github","ed4cb20","2026-06-03T11:32:33-03:00","4","True","0","192","False","1",""
"codex/pr66-local-reconciliation-20260603","remote_git|remote_github","08f3dee","2026-06-03T14:52:35-03:00","4","True","0","165","False","1",""
"codex/pr74-postmerge-readback-20260603","remote_git|remote_github","8f3c0fa","2026-06-03T16:16:16-03:00","4","True","0","159","False","1",""
"codex/process-manuals-framework-20260605","local","b0e30cb","2026-06-05T05:13:32-03:00","2","True","0","115","False","5","codex/agent-naming-rationalization-20260605|codex/agents-global-improvement-20260605|codex/codex-cloud-capability-audit-20260605|codex/full-repo-validation-followups-20260605"
"codex/process-rescue-framework-20260605","local|remote_git|remote_github","4beb992","2026-06-05T17:20:24-03:00","2","False","1","111","False","1",""
"codex/promote-governance-suite-gate-20260602","remote_git|remote_github","9aa3ae6","2026-06-02T21:35:02-03:00","5","True","0","246","False","1",""
"codex/reconcile-c-root-effective-cabina-20260605","local|remote_git|remote_github","4fdd96d","2026-06-05T04:20:22-03:00","2","True","0","118","False","1",""
"codex/reconcile-change-aware-gate-state-20260603","remote_git|remote_github","c7332ee","2026-06-02T23:22:24-03:00","5","True","0","236","False","1",""
"codex/register-governed-ci-closures-20260602","remote_git|remote_github","37fc7c9","2026-06-02T15:54:01-03:00","5","True","0","267","False","1",""
"codex/repo-operating-contract-cabina-20260604","remote_git|remote_github","b01107e","2026-06-04T18:07:17-03:00","3","True","0","133","False","1",""
"codex/retrospective-skills-recipes-agent-learning-20260603","remote_git|remote_github","4ab3628","2026-06-03T13:03:46-03:00","4","True","0","173","False","1",""
"codex/rey-guia-active-execution-queue-20260604","remote_git|remote_github","4aa594f","2026-06-04T23:50:45-03:00","3","True","0","124","False","1",""
"codex/root-artifact-cleanup-20260604","remote_git|remote_github","8bdc7cd","2026-06-04T15:36:01-03:00","3","True","0","138","False","1",""
"codex/runtime-parallel-issue-queue-20260601","remote_git|remote_github","2c43c28","2026-06-01T18:45:28-03:00","6","True","0","302","False","1",""
"codex/sdk-cloud-full-lifecycle-20260603","remote_git|remote_github","3647fa2","2026-06-03T03:41:21-03:00","4","True","0","218","False","1",""
"codex/sdu-agent-runtime-connections-postmerge-readback-20260603","remote_git|remote_github","67448cb","2026-06-03T18:18:15-03:00","4","True","0","157","False","1",""
"codex/sdu-agents-runtime-connections-teams-codex-cloud-dev-20260603","remote_git|remote_github","4d307cd","2026-06-03T18:01:57-03:00","4","True","0","159","False","1",""
"codex/sdu-agents-teams-identity-mcp-codex-cloud-dev-activation-20260603","remote_git|remote_github","2ac5537","2026-06-03T18:40:14-03:00","4","True","0","154","False","1",""
