"branch_name","tipo","scope","descripcion","referencia","estado","observaciones"
"codex/frontend-design-lane-issue-15","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=3b439eb;date=2026-06-01;ahead=0;behind=294;protected=false"
"codex/full-repo-validation-followups-20260605","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;DUPLICA_SHA_CON=codex/agent-naming-rationalization-20260605|codex/agents-global-improvement-20260605|codex/codex-cloud-capability-audit-20260605|codex/process-manuals-framework-20260605;sources=local;head=b0e30cb;date=2026-06-05;ahead=0;behind=115"
"codex/github-live-repo-scoped-lifecycle-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=39160ef;date=2026-06-03;ahead=0;behind=220;protected=false"
"codex/github-pr-lifecycle-recipe-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=f9b38aa;date=2026-06-01;ahead=0;behind=312;protected=false"
"codex/global-agent-autonomy-cloud-20260602","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=a75fbca;date=2026-06-02;ahead=0;behind=261;protected=false"
"codex/global-operational-chain-governance-20260601","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=4b026db;date=2026-06-01;ahead=0;behind=319;protected=false"
"codex/governance-suite-artifact-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=4e8a0cb;date=2026-06-02;ahead=0;behind=243;protected=false"
"codex/ignore-local-skill-install-holds-20260608","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=4d29e29;date=2026-06-08;ahead=0;behind=3;protected=false"
"codex/ignore-local-tool-state","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=local|remote_git|remote_github;head=4fe7fda;date=2026-06-07;ahead=0;behind=82;protected=false"
"codex/live-delta-reconciliation-20260603","","","","","RECONCILIADA","CONTENIDA_EN_MAIN;SDU_CN_NAMING_NO_CONFORME;SIN_REFERENCIA_EXTRAIBLE;sources=remote_git|remote_github;head=1077216;date=2026-06-03;ahead=0;behind=232;protected=false"
